"LON.MI.Open","LON.MI.High","LON.MI.Low","LON.MI.Close","LON.MI.Volume","LON.MI.Adjusted","Date"
4,4,4,4,1000,3.93902444839478,2020-01-02
4,4,4,4,0,3.93902444839478,2020-01-03
4,4,4,4,0,3.93902444839478,2020-01-06
4,4,4,4,0,3.93902444839478,2020-01-07
4,4,4,4,0,3.93902444839478,2020-01-08
4,4,4,4,0,3.93902444839478,2020-01-09
4,4,4,4,0,3.93902444839478,2020-01-10
4.07999992370605,4.07999992370605,4.01999998092651,4.01999998092651,1500,3.95871949195862,2020-01-13
4.01999998092651,4.01999998092651,4.01999998092651,4.01999998092651,500,3.95871949195862,2020-01-14
4.01999998092651,4.01999998092651,4.01999998092651,4.01999998092651,0,3.95871949195862,2020-01-15
4.01999998092651,4.01999998092651,4.01999998092651,4.01999998092651,0,3.95871949195862,2020-01-16
4.11999988555908,4.30000019073486,4.09000015258789,4.09000015258789,8000,4.02765274047852,2020-01-17
4.09000015258789,4.09000015258789,4.01999998092651,4.01999998092651,5000,3.95871949195862,2020-01-20
4.01999998092651,4.01999998092651,4.01999998092651,4.01999998092651,0,3.95871949195862,2020-01-21
4.01999998092651,4.01999998092651,4.01999998092651,4.01999998092651,0,3.95871949195862,2020-01-22
3.95000004768372,4.01999998092651,3.95000004768372,4.01999998092651,1500,3.95871949195862,2020-01-23
4.03000020980835,4.03000020980835,4.03000020980835,4.03000020980835,1000,3.96856737136841,2020-01-24
4.03000020980835,4.11999988555908,4.03000020980835,4.03999996185303,4500,3.97841477394104,2020-01-27
4.03999996185303,4.03999996185303,4.03999996185303,4.03999996185303,500,3.97841477394104,2020-01-28
4.03999996185303,4.03999996185303,4.03999996185303,4.03999996185303,0,3.97841477394104,2020-01-29
4.03999996185303,4.03999996185303,4.03999996185303,4.03999996185303,0,3.97841477394104,2020-01-30
4.03999996185303,4.03999996185303,4.03999996185303,4.03999996185303,0,3.97841477394104,2020-01-31
4.03999996185303,4.03999996185303,4.03999996185303,4.03999996185303,500,3.97841477394104,2020-02-03
4.03999996185303,4.11999988555908,4.03999996185303,4.11999988555908,14000,4.05719518661499,2020-02-04
4.19999980926514,4.19999980926514,4.19999980926514,4.19999980926514,500,4.13597536087036,2020-02-05
4.19999980926514,4.19999980926514,4.19999980926514,4.19999980926514,0,4.13597536087036,2020-02-06
4.09999990463257,4.09999990463257,4.09999990463257,4.09999990463257,1000,4.03749990463257,2020-02-07
4,4,4,4,1000,3.93902444839478,2020-02-10
4,4,4,4,0,3.93902444839478,2020-02-11
3.92000007629395,3.92000007629395,3.91000008583069,3.91000008583069,1500,3.85039639472961,2020-02-12
4,4,4,4,1000,3.93902444839478,2020-02-13
3.9300000667572,3.9300000667572,3.9300000667572,3.9300000667572,500,3.87009167671204,2020-02-14
3.86999988555908,4.01000022888184,3.86999988555908,4.01000022888184,1000,3.94887232780457,2020-02-17
4.07000017166138,4.07000017166138,3.92000007629395,3.92000007629395,1500,3.86024403572083,2020-02-18
4.01000022888184,4.01000022888184,4.01000022888184,4.01000022888184,500,3.94887232780457,2020-02-19
4.01000022888184,4.01000022888184,4.01000022888184,4.01000022888184,0,3.94887232780457,2020-02-20
4.07999992370605,4.09000015258789,4.07999992370605,4.09000015258789,1500,4.02765274047852,2020-02-21
3.94000005722046,3.94000005722046,3.89000010490417,3.89000010490417,2000,3.83070135116577,2020-02-24
3.89000010490417,3.89000010490417,3.89000010490417,3.89000010490417,0,3.83070135116577,2020-02-25
3.89000010490417,3.89000010490417,3.89000010490417,3.89000010490417,0,3.83070135116577,2020-02-26
3.89000010490417,3.89000010490417,3.89000010490417,3.89000010490417,500,3.83070135116577,2020-02-27
3.89000010490417,3.89000010490417,3.89000010490417,3.89000010490417,0,3.83070135116577,2020-02-28
3.79999995231628,3.79999995231628,3.79999995231628,3.79999995231628,500,3.74207329750061,2020-03-02
3.79999995231628,3.79999995231628,3.79999995231628,3.79999995231628,0,3.74207329750061,2020-03-03
3.79999995231628,3.79999995231628,3.79999995231628,3.79999995231628,0,3.74207329750061,2020-03-04
3.71000003814697,3.71000003814697,3.71000003814697,3.71000003814697,1000,3.65344524383545,2020-03-05
3.71000003814697,3.71000003814697,3.71000003814697,3.71000003814697,0,3.65344524383545,2020-03-06
3.71000003814697,3.71000003814697,3.71000003814697,3.71000003814697,0,3.65344524383545,2020-03-09
