"VLS.MI.Open","VLS.MI.High","VLS.MI.Low","VLS.MI.Close","VLS.MI.Volume","VLS.MI.Adjusted","Date"
12,12,11.8000001907349,12,20989,9.73301219940186,2020-01-02
12,12,11.8000001907349,11.8500003814697,2486,9.61134910583496,2020-01-03
12,12,11.6000003814697,11.9499998092651,1335,9.69245719909668,2020-01-06
12,12,11.8000001907349,11.8500003814697,1565,9.61134910583496,2020-01-07
11.9499998092651,11.9499998092651,11.6999998092651,11.8500003814697,1909,9.61134910583496,2020-01-08
11.9499998092651,12,11.75,11.9499998092651,1578,9.69245719909668,2020-01-09
11.9499998092651,12,11.6999998092651,11.8999996185303,2799,9.65190315246582,2020-01-10
11.8999996185303,11.8999996185303,11.8000001907349,11.8999996185303,2262,9.65190315246582,2020-01-13
11.9499998092651,11.9499998092651,11.8000001907349,11.8000001907349,2820,9.5707950592041,2020-01-14
11.9499998092651,11.9499998092651,11.6999998092651,11.6999998092651,2975,9.48968505859375,2020-01-15
11.6999998092651,11.8000001907349,11.5500001907349,11.8000001907349,2742,9.5707950592041,2020-01-16
11.75,12,11.75,11.9499998092651,10579,9.69245719909668,2020-01-17
12,12,11.8000001907349,11.8000001907349,381,9.5707950592041,2020-01-20
11.9499998092651,12.0500001907349,11.75,11.8000001907349,12929,9.5707950592041,2020-01-21
11.9499998092651,11.9499998092651,11.6999998092651,11.75,3759,9.53024005889893,2020-01-22
11.8000001907349,11.8500003814697,11.6000003814697,11.6999998092651,522,9.48968505859375,2020-01-23
11.8500003814697,11.8500003814697,11.1999998092651,11.6499996185303,5272,9.44913387298584,2020-01-24
11.6999998092651,11.6999998092651,11.3500003814697,11.4499998092651,1235,9.28691577911377,2020-01-27
11.3000001907349,11.6499996185303,11.1499996185303,11.6499996185303,2973,9.44913387298584,2020-01-28
11.4499998092651,11.8999996185303,11.4499998092651,11.6999998092651,4593,9.48968505859375,2020-01-29
11.8500003814697,11.8500003814697,11.5500001907349,11.8000001907349,242,9.5707950592041,2020-01-30
