"BC.MI.Open","BC.MI.High","BC.MI.Low","BC.MI.Close","BC.MI.Volume","BC.MI.Adjusted","Date"
31.6399993896484,32.3400001525879,31.6200008392334,32.3400001525879,48975,31.2213802337646,2020-01-02
32,32.4000015258789,31.9799995422363,32.1199989318848,52807,31.0089912414551,2020-01-03
32.0400009155273,32.0400009155273,31.3199996948242,31.7999992370605,48714,30.7000598907471,2020-01-06
32.6399993896484,34.7599983215332,32.5200004577637,34.2000007629395,437396,33.0170440673828,2020-01-07
34.2799987792969,34.939998626709,33.6800003051758,34.560001373291,233304,33.3645896911621,2020-01-08
34.8400001525879,35.1199989318848,34.5,35.1199989318848,121933,33.9052276611328,2020-01-09
35.1199989318848,35.2799987792969,34.939998626709,35.0999984741211,95929,33.8859100341797,2020-01-10
35.1800003051758,36.2999992370605,35.1800003051758,36.1399993896484,144992,34.8899421691895,2020-01-13
36,36.2799987792969,35.2200012207031,36.2799987792969,135765,35.0250968933105,2020-01-14
36.2999992370605,37.2599983215332,36,37.2599983215332,124601,35.9712028503418,2020-01-15
37.2799987792969,38.060001373291,37.2599983215332,37.8400001525879,134185,36.5311393737793,2020-01-16
38,38.3600006103516,37.7000007629395,38.2799987792969,92006,36.9559211730957,2020-01-17
38.2999992370605,38.7400016784668,38.2999992370605,38.5400009155273,80890,37.2069320678711,2020-01-20
38.2000007629395,38.2000007629395,36.5800018310547,36.9799995422363,232388,35.7008895874023,2020-01-21
37.3800010681152,37.439998626709,36.8600006103516,37.0999984741211,52661,35.8167381286621,2020-01-22
37.0999984741211,37.0999984741211,35.2400016784668,36.2400016784668,163954,34.9864883422852,2020-01-23
36.2599983215332,37.2000007629395,36.1399993896484,36.2799987792969,79914,35.0250968933105,2020-01-24
35.5,35.8199996948242,34.3400001525879,34.4799995422363,152014,33.2873649597168,2020-01-27
34.9000015258789,34.9000015258789,34.0800018310547,34.2200012207031,96283,33.0363578796387,2020-01-28
34.560001373291,34.8199996948242,33.7999992370605,34.0999984741211,93719,32.9205055236816,2020-01-29
33.5999984741211,34.2000007629395,33.060001373291,33.1399993896484,81252,31.9937114715576,2020-01-30
33.1800003051758,33.4799995422363,32.7000007629395,32.8199996948242,113273,31.684778213501,2020-01-31
32.6599998474121,33.2000007629395,32.5,33.0200004577637,48314,31.8778591156006,2020-02-03
33.439998626709,33.7999992370605,33.0400009155273,33.5200004577637,154526,32.3605651855469,2020-02-04
33.5200004577637,34.7999992370605,33.2000007629395,34.5800018310547,159760,33.3839073181152,2020-02-05
34.5999984741211,35.1199989318848,34.0200004577637,34.0200004577637,196653,32.8432769775391,2020-02-06
34.0999984741211,34.1199989318848,32.7999992370605,32.7999992370605,106030,31.6654720306396,2020-02-07
33.0800018310547,33.4000015258789,32.5200004577637,32.8800010681152,61151,31.7427024841309,2020-02-10
32.8400001525879,33.2000007629395,32.560001373291,33.1399993896484,82743,31.9937114715576,2020-02-11
33.3199996948242,34,33.0200004577637,34,76602,32.8239631652832,2020-02-12
34,34.0800018310547,32.9799995422363,34.0800018310547,64090,32.9011993408203,2020-02-13
34,34.2400016784668,33.4000015258789,33.4000015258789,52677,32.2447204589844,2020-02-14
33.4000015258789,33.7999992370605,33.4000015258789,33.7000007629395,42808,32.5343437194824,2020-02-17
33.7200012207031,33.7599983215332,33.2999992370605,33.6399993896484,33842,32.4764175415039,2020-02-18
33.6199989318848,35.3400001525879,33.6199989318848,34.9000015258789,101798,33.6928367614746,2020-02-19
34.9000015258789,35.3800010681152,33.8800010681152,33.8800010681152,112720,32.7081146240234,2020-02-20
33.5,33.8199996948242,33.0200004577637,33.0800018310547,46250,31.9357891082764,2020-02-21
32,32.1599998474121,31.3400001525879,32.1599998474121,301162,31.047607421875,2020-02-24
32.1800003051758,32.3400001525879,30.4400005340576,30.4400005340576,211581,29.3871040344238,2020-02-25
30.1000003814697,30.9400005340576,29.2199993133545,30.8799991607666,257994,29.8118839263916,2020-02-26
