"TRN.MI.Open","TRN.MI.High","TRN.MI.Low","TRN.MI.Close","TRN.MI.Volume","TRN.MI.Adjusted","Date"
5.98000001907349,5.98799991607666,5.91200017929077,5.92399978637695,4113476,4.65221548080444,2020-01-02
5.90999984741211,5.92999982833862,5.82600021362305,5.90199995040894,4540851,4.63493919372559,2020-01-03
5.87200021743774,5.89599990844727,5.82800006866455,5.84800004959106,4512039,4.59253168106079,2020-01-06
5.88000011444092,5.92399978637695,5.85799980163574,5.8899998664856,3719380,4.62551546096802,2020-01-07
5.85400009155273,5.96600008010864,5.84600019454956,5.9539999961853,4399895,4.67577505111694,2020-01-08
5.98199987411499,6.02400016784668,5.96199989318848,5.98600006103516,3876682,4.70090436935425,2020-01-09
6,6.08400011062622,6,6.05000019073486,4617351,4.75116539001465,2020-01-10
6.05000019073486,6.06400012969971,5.98400020599365,5.98400020599365,4567706,4.69933557510376,2020-01-13
6.01200008392334,6.05600023269653,5.95800018310547,6.0479998588562,3651783,4.74959468841553,2020-01-14
6.05999994277954,6.12400007247925,6.01200008392334,6.09999990463257,4018526,4.7904314994812,2020-01-15
6.11999988555908,6.13600015640259,6.05999994277954,6.09800004959106,4252766,4.78886079788208,2020-01-16
6.12400007247925,6.21000003814697,6.09800004959106,6.19799995422363,6111545,4.86739206314087,2020-01-17
6.19799995422363,6.20599985122681,6.1560001373291,6.18599987030029,2946593,4.85796785354614,2020-01-20
6.14599990844727,6.14599990844727,6.0479998588562,6.08400011062622,4377143,4.77786636352539,2020-01-21
6.09999990463257,6.15399980545044,6.07999992370605,6.11999988555908,4508404,4.8061375617981,2020-01-22
6.11999988555908,6.22200012207031,6.10799980163574,6.22200012207031,5264128,4.88624048233032,2020-01-23
6.21999979019165,6.33599996566772,6.21999979019165,6.32200002670288,4983711,4.96477174758911,2020-01-24
6.23000001907349,6.36199998855591,6.23000001907349,6.26800012588501,6708266,4.92236471176147,2020-01-27
6.26399993896484,6.46199989318848,6.26399993896484,6.46000003814697,7496349,5.07314586639404,2020-01-28
6.45800018310547,6.52400016784668,6.44399976730347,6.52199983596802,4658058,5.12183523178101,2020-01-29
6.49399995803833,6.4980001449585,6.44199991226196,6.44199991226196,5549448,5.05901002883911,2020-01-30
6.47200012207031,6.47200012207031,6.2960000038147,6.2960000038147,8176569,4.9443531036377,2020-01-31
6.31400012969971,6.37599992752075,6.2960000038147,6.3439998626709,5111963,4.98204946517944,2020-02-03
6.38000011444092,6.42799997329712,6.34600019454956,6.39599990844727,6958327,5.02288436889648,2020-02-04
6.38199996948242,6.46600008010864,6.32200002670288,6.46199989318848,5699337,5.07471513748169,2020-02-05
6.43200016021729,6.50400018692017,6.41200017929077,6.49399995803833,5216450,5.09984588623047,2020-02-06
6.46400022506714,6.55600023269653,6.44799995422363,6.47399997711182,4637554,5.08413934707642,2020-02-07
6.48000001907349,6.48799991607666,6.42399978637695,6.47800016403198,2822436,5.08728122711182,2020-02-10
6.48999977111816,6.5939998626709,6.47200012207031,6.58599996566772,4976407,5.17209434509277,2020-02-11
6.58599996566772,6.60400009155273,6.50400018692017,6.50400018692017,3543201,5.10769939422607,2020-02-12
