"EM710.MI.Open","EM710.MI.High","EM710.MI.Low","EM710.MI.Close","EM710.MI.Volume","EM710.MI.Adjusted","Date"
185.199996948242,185.990005493164,185.199996948242,186.009994506836,2245,186.009994506836,2020-01-02
186.649993896484,187.070007324219,186.630004882812,186.899993896484,1332,186.899993896484,2020-01-03
187.100006103516,187.160003662109,186.800003051758,186.809997558594,1153,186.809997558594,2020-01-06
186.610000610352,186.910003662109,186.610000610352,186.710006713867,457,186.710006713867,2020-01-07
186.800003051758,186.830001831055,186.5,186.559997558594,1107,186.559997558594,2020-01-08
186.050003051758,186.320007324219,186.050003051758,186.169998168945,1364,186.169998168945,2020-01-09
186.399993896484,186.509994506836,186.100006103516,186.509994506836,6799,186.509994506836,2020-01-10
186.339996337891,186.339996337891,185.809997558594,185.839996337891,2629,185.839996337891,2020-01-13
185.990005493164,186.089996337891,185.889999389648,185.970001220703,2973,185.970001220703,2020-01-14
186.240005493164,186.449996948242,186.240005493164,186.320007324219,3839,186.320007324219,2020-01-15
186.270004272461,186.419998168945,186.210006713867,186.160003662109,3658,186.160003662109,2020-01-16
186.449996948242,186.509994506836,186.270004272461,186.369995117188,4614,186.369995117188,2020-01-17
186.259994506836,186.360000610352,186.179992675781,186.350006103516,12598,186.350006103516,2020-01-20
186.380004882812,186.460006713867,186.270004272461,186.710006713867,2932,186.710006713867,2020-01-21
186.470001220703,187,186.470001220703,186.949996948242,2181,186.949996948242,2020-01-22
187.130004882812,188.770004272461,187.130004882812,187.720001220703,5281,187.720001220703,2020-01-23
187.660003662109,187.990005493164,187.380004882812,187.990005493164,1392,187.990005493164,2020-01-24
188.860000610352,189.190002441406,188.830001831055,189.190002441406,1633,189.190002441406,2020-01-27
189.149993896484,189.309997558594,188.690002441406,188.800003051758,2041,188.800003051758,2020-01-28
188.979995727539,189.270004272461,188.979995727539,189.270004272461,1362,189.270004272461,2020-01-29
189.399993896484,189.619995117188,189.399993896484,189.619995117188,1994,189.619995117188,2020-01-30
189.529998779297,190.080001831055,189.529998779297,190.080001831055,719,190.080001831055,2020-01-31
